handle,field,default content (en),translated content (ar)
nekoni-cute,title,Nekoni Cute,ملصقات Nekoni — Cute
nekoni-cute,body_html,"<p>Nekoni Cute — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات Nekoni — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
ghost-pop-out,title,Ghost Pop Out,ملصقات — Pop Out
ghost-pop-out,body_html,"<p>Ghost Pop Out — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
neon-stickers,title,Neon Stickers,ملصقات نيون
neon-stickers,body_html,"<p>Neon Stickers — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات نيون — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
abc-funny-day,title,ABC Funny Day,ملصقات — Funny Day
abc-funny-day,body_html,"<p>ABC Funny Day — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
abc-ready-go,title,ABC Ready Go,ملصقات — Ready Go
abc-ready-go,body_html,"<p>ABC Ready Go — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
abc-have-a-nice-day,title,ABC Have a Nice Day,ملصقات — Have a Nice Day
abc-have-a-nice-day,body_html,"<p>ABC Have a Nice Day — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
abc-like-balloon,title,ABC Like Balloon,ملصقات — Like Balloon
abc-like-balloon,body_html,"<p>ABC Like Balloon — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
one-piece,title,One Piece Character Pen,قلم One Piece
one-piece,body_html,"<p>One Piece Character Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike.</p>",<p>قلم One Piece لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
pen-thai-2,title,Character Ballpoint Pen — Style 2,قلم تصميم ٢
pen-thai-2,body_html,"<p>Character Ballpoint Pen for smooth, reliable everyday writing.</p><p>A dependable pick for school, office and signatures alike.</p>",<p>قلم تصميم ٢ لكتابة يومية سلسة وموثوقة.</p><p>خيار يعتمد عليه في المدرسة والمكتب والتوقيعات.</p>
mini-mon,title,Mini Monster Sticker Sheet,ملصقات — Monster Sticker Sheet
mini-mon,body_html,"<p>Mini Monster Sticker Sheet — a fun sheet of peel-and-stick designs.</p><p>Great for decorating journals, laptops, school books and reward charts. An easy little gift for kids.</p>",<p>ملصقات — ورقة ملصقات ممتعة تُقشر وتُلصق بسهولة.</p><p>لتزيين الدفاتر والأجهزة وكتب المدرسة ولوحات التحفيز. هدية صغيرة تُفرح الأطفال.</p>
pocket-planner,title,Pocket Planner,مخطط
pocket-planner,body_html,"<p>Pocket Planner to plan the day, week or month at a glance.</p><p>Helps students and busy people keep tasks visible and satisfying to tick off.</p>",<p>مخطط لتنظيم اليوم والأسبوع والشهر بنظرة واحدة.</p><p>يساعد الطلاب والمشغولين على إبقاء المهام مرئية — وشطبها ممتع.</p>
sticky-note-a555-02,title,Sticky Notes — Pastel Set,ملاحظات لاصقة — Notes — Pastel Set
sticky-note-a555-02,body_html,"<p>Sticky Notes — Pastel Set for quick reminders, page markers and desk notes that peel off cleanly.</p><p>Handy for students and office desks alike — stick them on books, screens and planners.</p>",<p>ملاحظات لاصقة للملاحظات السريعة وتعليم الصفحات، تُنزع بسهولة دون أثر.</p><p>عملية للطلاب وعلى مكاتب العمل — على الكتب والشاشات والمخططات.</p>
moshi-moshi-gel-pen,title,Moshi Moshi Gel Pen — Style 1,قلم جل Moshi Moshi تصميم ١
moshi-moshi-gel-pen,body_html,"<p>Moshi Moshi Gel Pen — smooth-flowing ink in a comfortable grip.</p><p>A favourite for note-taking, journaling and adding colour to study notes.</p>",<p>قلم جل Moshi Moshi تصميم ١ — حبر انسيابي وقبضة مريحة.</p><p>مفضل لتدوين الملاحظات وتلوين الملخصات الدراسية.</p>
moshi-moshi-gel-pen-2,title,Moshi Moshi Gel Pen — Style 2,قلم جل Moshi Moshi تصميم ٢
moshi-moshi-gel-pen-2,body_html,"<p>Moshi Moshi Gel Pen — smooth-flowing ink in a comfortable grip.</p><p>A favourite for note-taking, journaling and adding colour to study notes.</p>",<p>قلم جل Moshi Moshi تصميم ٢ — حبر انسيابي وقبضة مريحة.</p><p>مفضل لتدوين الملاحظات وتلوين الملخصات الدراسية.</p>
moshi-moshi-gel-pen-3,title,Moshi Moshi Gel Pen — Style 3,قلم جل Moshi Moshi تصميم ٣
moshi-moshi-gel-pen-3,body_html,"<p>Moshi Moshi Gel Pen — smooth-flowing ink in a comfortable grip.</p><p>A favourite for note-taking, journaling and adding colour to study notes.</p>",<p>قلم جل Moshi Moshi تصميم ٣ — حبر انسيابي وقبضة مريحة.</p><p>مفضل لتدوين الملاحظات وتلوين الملخصات الدراسية.</p>
moshi-moshi-gel-pen-4,title,Moshi Moshi Gel Pen — Style 4,قلم جل Moshi Moshi تصميم ٤
moshi-moshi-gel-pen-4,body_html,"<p>Moshi Moshi Gel Pen — smooth-flowing ink in a comfortable grip.</p><p>A favourite for note-taking, journaling and adding colour to study notes.</p>",<p>قلم جل Moshi Moshi تصميم ٤ — حبر انسيابي وقبضة مريحة.</p><p>مفضل لتدوين الملاحظات وتلوين الملخصات الدراسية.</p>
moshi-moshi-gel-pen-5,title,Moshi Moshi Gel Pen — Style 5,قلم جل Moshi Moshi تصميم ٥
moshi-moshi-gel-pen-5,body_html,"<p>Moshi Moshi Gel Pen — smooth-flowing ink in a comfortable grip.</p><p>A favourite for note-taking, journaling and adding colour to study notes.</p>",<p>قلم جل Moshi Moshi تصميم ٥ — حبر انسيابي وقبضة مريحة.</p><p>مفضل لتدوين الملاحظات وتلوين الملخصات الدراسية.</p>
moshi-moshi-gel-pen-6,title,Moshi Moshi Gel Pen — Style 6,قلم جل Moshi Moshi تصميم ٦
moshi-moshi-gel-pen-6,body_html,"<p>Moshi Moshi Gel Pen — smooth-flowing ink in a comfortable grip.</p><p>A favourite for note-taking, journaling and adding colour to study notes.</p>",<p>قلم جل Moshi Moshi تصميم ٦ — حبر انسيابي وقبضة مريحة.</p><p>مفضل لتدوين الملاحظات وتلوين الملخصات الدراسية.</p>
moshi-moshi-gel-pen-7,title,Moshi Moshi Gel Pen — Style 7,قلم جل Moshi Moshi تصميم ٧
moshi-moshi-gel-pen-7,body_html,"<p>Moshi Moshi Gel Pen — smooth-flowing ink in a comfortable grip.</p><p>A favourite for note-taking, journaling and adding colour to study notes.</p>",<p>قلم جل Moshi Moshi تصميم ٧ — حبر انسيابي وقبضة مريحة.</p><p>مفضل لتدوين الملاحظات وتلوين الملخصات الدراسية.</p>
moshi-moshi-gel-pen-8,title,Moshi Moshi Gel Pen — Style 8,قلم جل Moshi Moshi تصميم ٨
moshi-moshi-gel-pen-8,body_html,"<p>Moshi Moshi Gel Pen — smooth-flowing ink in a comfortable grip.</p><p>A favourite for note-taking, journaling and adding colour to study notes.</p>",<p>قلم جل Moshi Moshi تصميم ٨ — حبر انسيابي وقبضة مريحة.</p><p>مفضل لتدوين الملاحظات وتلوين الملخصات الدراسية.</p>
moshi-moshi-gel-pen-9,title,Moshi Moshi Gel Pen — Style 9,قلم جل Moshi Moshi تصميم ٩
moshi-moshi-gel-pen-9,body_html,"<p>Moshi Moshi Gel Pen — smooth-flowing ink in a comfortable grip.</p><p>A favourite for note-taking, journaling and adding colour to study notes.</p>",<p>قلم جل Moshi Moshi تصميم ٩ — حبر انسيابي وقبضة مريحة.</p><p>مفضل لتدوين الملاحظات وتلوين الملخصات الدراسية.</p>
moshi-moshi-gel-pen-10,title,Moshi Moshi Gel Pen — Style 10,قلم جل Moshi Moshi تصميم ١٠
moshi-moshi-gel-pen-10,body_html,"<p>Moshi Moshi Gel Pen — smooth-flowing ink in a comfortable grip.</p><p>A favourite for note-taking, journaling and adding colour to study notes.</p>",<p>قلم جل Moshi Moshi تصميم ١٠ — حبر انسيابي وقبضة مريحة.</p><p>مفضل لتدوين الملاحظات وتلوين الملخصات الدراسية.</p>
moshi-moshi-gel-pen-11,title,Moshi Moshi Gel Pen — Style 11,قلم جل Moshi Moshi تصميم ١١
moshi-moshi-gel-pen-11,body_html,"<p>Moshi Moshi Gel Pen — smooth-flowing ink in a comfortable grip.</p><p>A favourite for note-taking, journaling and adding colour to study notes.</p>",<p>قلم جل Moshi Moshi تصميم ١١ — حبر انسيابي وقبضة مريحة.</p><p>مفضل لتدوين الملاحظات وتلوين الملخصات الدراسية.</p>
motarro-cheque-file-myd075,title,Motarro Cheque File — Style 2,ملف تصميم ٢ من Motarro — Cheque File
motarro-cheque-file-myd075,body_html,"<p>Motarro Cheque File to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents. From Motarro.</p>",<p>ملف تصميم ٢ من Motarro لحفظ الأوراق مرتبة وآمنة.</p><p>نظام سريع لأوراق المدرسة والفواتير ومستندات المكتب.</p>
motarro-paint-brush-mp154-3,title,Motarro Paint Brush — Style 3,فرشاة رسم تصميم ٣ من Motarro
motarro-paint-brush-mp154-3,body_html,<p>Motarro Paint Brush for painting at school or home.</p><p>Holds colour well and cleans up easily. From Motarro.</p>,<p>فرشاة رسم تصميم ٣ من Motarro للرسم في المدرسة أو البيت.</p><p>تحمل اللون جيدًا وتُنظف بسهولة.</p>
motarro-paint-brush-mp154-5,title,Motarro Paint Brush — Style 5,فرشاة رسم تصميم ٥ من Motarro
motarro-paint-brush-mp154-5,body_html,<p>Motarro Paint Brush for painting at school or home.</p><p>Holds colour well and cleans up easily. From Motarro.</p>,<p>فرشاة رسم تصميم ٥ من Motarro للرسم في المدرسة أو البيت.</p><p>تحمل اللون جيدًا وتُنظف بسهولة.</p>
motarro-craft-beads-me128-8,title,Motarro Craft Beads — Style 8,مستلزمات كرافت تصميم ٨ من Motarro — Craft Beads
motarro-craft-beads-me128-8,body_html,"<p>Motarro Craft Beads for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ٨ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-craft-beads-me128-4,title,Motarro Craft Beads — Style 4,مستلزمات كرافت تصميم ٤ من Motarro — Craft Beads
motarro-craft-beads-me128-4,body_html,"<p>Motarro Craft Beads for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ٤ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-craft-beads-me128-6,title,Motarro Craft Beads — Style 6,مستلزمات كرافت تصميم ٦ من Motarro — Craft Beads
motarro-craft-beads-me128-6,body_html,"<p>Motarro Craft Beads for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ٦ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-steel-ruler-15cm-myd067-15,title,Motarro Steel Ruler — 15 cm,مسطرة ١٥ سم من Motarro
motarro-steel-ruler-15cm-myd067-15,body_html,"<p>Motarro Steel Ruler — 15 cm for accurate measuring and clean lines.</p><p>Made for pencil cases, drawing boards and toolboxes. From Motarro.</p>",<p>مسطرة ١٥ سم من Motarro لقياس دقيق وخطوط نظيفة.</p><p>لأدوات الهندسة والمقلمة وصندوق العدة.</p>
motarro-steel-ruler-30cm-myd067-30,title,Motarro Steel Ruler — 30 cm,مسطرة ٣٠ سم من Motarro
motarro-steel-ruler-30cm-myd067-30,body_html,"<p>Motarro Steel Ruler — 30 cm for accurate measuring and clean lines.</p><p>Made for pencil cases, drawing boards and toolboxes. From Motarro.</p>",<p>مسطرة ٣٠ سم من Motarro لقياس دقيق وخطوط نظيفة.</p><p>لأدوات الهندسة والمقلمة وصندوق العدة.</p>
motarro-pegs-ma001-10,title,Motarro Pegs — Style 10,مستلزمات كرافت تصميم ١٠ من Motarro
motarro-pegs-ma001-10,body_html,"<p>Motarro Pegs for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ١٠ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-pegs-ma001-4,title,Motarro Pegs — Style 4,مستلزمات كرافت تصميم ٤ من Motarro — Pegs
motarro-pegs-ma001-4,body_html,"<p>Motarro Pegs for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ٤ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-pegs-ma001-1,title,Motarro Pegs — Style 1,مستلزمات كرافت تصميم ١ من Motarro — Pegs
motarro-pegs-ma001-1,body_html,"<p>Motarro Pegs for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ١ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-pegs-ma001-8,title,Motarro Pegs — Style 8,مستلزمات كرافت تصميم ٨ من Motarro — Pegs
motarro-pegs-ma001-8,body_html,"<p>Motarro Pegs for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ٨ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-eva-zipper-bag-mq057-4,title,Motarro EVA Zipper Bag — Style 4,ملف تصميم ٤ من Motarro
motarro-eva-zipper-bag-mq057-4,body_html,"<p>Motarro EVA Zipper Bag to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents. From Motarro.</p>",<p>ملف تصميم ٤ من Motarro لحفظ الأوراق مرتبة وآمنة.</p><p>نظام سريع لأوراق المدرسة والفواتير ومستندات المكتب.</p>
motarro-eva-zipper-bag-mq057-7,title,Motarro EVA Zipper Bag — Style 7,ملف تصميم ٧ من Motarro
motarro-eva-zipper-bag-mq057-7,body_html,"<p>Motarro EVA Zipper Bag to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents. From Motarro.</p>",<p>ملف تصميم ٧ من Motarro لحفظ الأوراق مرتبة وآمنة.</p><p>نظام سريع لأوراق المدرسة والفواتير ومستندات المكتب.</p>
motarro-eva-zipper-bag-mq057-3,title,Motarro EVA Zipper Bag — Style 3,ملف تصميم ٣ من Motarro
motarro-eva-zipper-bag-mq057-3,body_html,"<p>Motarro EVA Zipper Bag to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents. From Motarro.</p>",<p>ملف تصميم ٣ من Motarro لحفظ الأوراق مرتبة وآمنة.</p><p>نظام سريع لأوراق المدرسة والفواتير ومستندات المكتب.</p>
motarro-eva-zipper-bag-mq057-6,title,Motarro EVA Zipper Bag — Style 6,ملف تصميم ٦ من Motarro
motarro-eva-zipper-bag-mq057-6,body_html,"<p>Motarro EVA Zipper Bag to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents. From Motarro.</p>",<p>ملف تصميم ٦ من Motarro لحفظ الأوراق مرتبة وآمنة.</p><p>نظام سريع لأوراق المدرسة والفواتير ومستندات المكتب.</p>
motarro-eva-zipper-bag-mq057-2,title,Motarro EVA Zipper Bag — Style 2,ملف تصميم ٢ من Motarro — EVA Zipper Bag
motarro-eva-zipper-bag-mq057-2,body_html,"<p>Motarro EVA Zipper Bag to keep papers flat, sorted and safe.</p><p>Brings quick order to school hand-outs, bills and office documents. From Motarro.</p>",<p>ملف تصميم ٢ من Motarro لحفظ الأوراق مرتبة وآمنة.</p><p>نظام سريع لأوراق المدرسة والفواتير ومستندات المكتب.</p>
motarro-clay-tools-mp147,title,Motarro Clay Tools — Style 1,صلصال تصميم ١ من Motarro
motarro-clay-tools-mp147,body_html,"<p>Motarro Clay Tools — soft, colourful and easy to shape.</p><p>Hours of screen-free making for kids; air-dries into keepable little creations. From Motarro.</p>",<p>صلصال تصميم ١ من Motarro — طري وملون وسهل التشكيل.</p><p>ساعات من اللعب الإبداعي بعيدًا عن الشاشات، ويجف ليتحول إلى مجسمات تُحفظ.</p>
motarro-pompom-me290-1,title,Motarro Pompom — Style 1,مستلزمات كرافت تصميم ١ من Motarro — Pompom
motarro-pompom-me290-1,body_html,"<p>Motarro Pompom for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ١ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-pompom-me291-1,title,Motarro Pompom — Style 1 (2),مستلزمات كرافت تصميم ١ من Motarro — Pompom (2)
motarro-pompom-me291-1,body_html,"<p>Motarro Pompom for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ١ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-pompom-me290-3,title,Motarro Pompom — Style 3,مستلزمات كرافت تصميم ٣ من Motarro — Pompom
motarro-pompom-me290-3,body_html,"<p>Motarro Pompom for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ٣ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-pompom-me290-6,title,Motarro Pompom — Style 6,مستلزمات كرافت تصميم ٦ من Motarro — Pompom
motarro-pompom-me290-6,body_html,"<p>Motarro Pompom for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ٦ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-polystyrene-ball-me001-45,title,Motarro Polystyrene Craft Balls,مستلزمات كرافت من Motarro — Polystyrene Craft Balls
motarro-polystyrene-ball-me001-45,body_html,"<p>Motarro Polystyrene Craft Balls for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-polystyrene-star-me002-20,title,Motarro Polystyrene Craft Stars,مستلزمات كرافت من Motarro — Polystyrene Craft Stars
motarro-polystyrene-star-me002-20,body_html,"<p>Motarro Polystyrene Craft Stars for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-flash-card-mathemetical-mu146-1,title,Motarro Flash Card Mathematical — Style 1,بطاقات تعليمية تصميم ١ من Motarro
motarro-flash-card-mathemetical-mu146-1,body_html,<p>Motarro Flash Card Mathematical — picture cards that make early learning feel like play.</p><p>A simple screen-free way for parents and teachers to build vocabulary with young children. From Motarro.</p>,<p>بطاقات تعليمية تصميم ١ من Motarro — بطاقات مصورة تجعل التعلم المبكر أقرب إلى اللعب.</p><p>وسيلة بسيطة بعيدًا عن الشاشات لبناء مفردات الصغار في البيت أو الروضة.</p>
motarro-flash-card-mathemetical-mu146-2,title,Motarro Flash Card Mathematical — Style 2,بطاقات تعليمية تصميم ٢ من Motarro
motarro-flash-card-mathemetical-mu146-2,body_html,<p>Motarro Flash Card Mathematical — picture cards that make early learning feel like play.</p><p>A simple screen-free way for parents and teachers to build vocabulary with young children. From Motarro.</p>,<p>بطاقات تعليمية تصميم ٢ من Motarro — بطاقات مصورة تجعل التعلم المبكر أقرب إلى اللعب.</p><p>وسيلة بسيطة بعيدًا عن الشاشات لبناء مفردات الصغار في البيت أو الروضة.</p>
motarro-flash-card-traffic-mu146-10,title,Motarro Flash Card Traffic,بطاقات تعليمية من Motarro — Flash Card Traffic
motarro-flash-card-traffic-mu146-10,body_html,<p>Motarro Flash Card Traffic — picture cards that make early learning feel like play.</p><p>A simple screen-free way for parents and teachers to build vocabulary with young children. From Motarro.</p>,<p>بطاقات تعليمية من Motarro — بطاقات مصورة تجعل التعلم المبكر أقرب إلى اللعب.</p><p>وسيلة بسيطة بعيدًا عن الشاشات لبناء مفردات الصغار في البيت أو الروضة.</p>
motarro-flash-card-animal-mu146-7,title,Motarro Flash Card Animal,بطاقات تعليمية من Motarro — Flash Card Animal
motarro-flash-card-animal-mu146-7,body_html,<p>Motarro Flash Card Animal — picture cards that make early learning feel like play.</p><p>A simple screen-free way for parents and teachers to build vocabulary with young children. From Motarro.</p>,<p>بطاقات تعليمية من Motarro — بطاقات مصورة تجعل التعلم المبكر أقرب إلى اللعب.</p><p>وسيلة بسيطة بعيدًا عن الشاشات لبناء مفردات الصغار في البيت أو الروضة.</p>
motarro-flash-card-fish-mu146-12,title,Motarro Flash Card Fish,بطاقات تعليمية من Motarro — Flash Card Fish
motarro-flash-card-fish-mu146-12,body_html,<p>Motarro Flash Card Fish — picture cards that make early learning feel like play.</p><p>A simple screen-free way for parents and teachers to build vocabulary with young children. From Motarro.</p>,<p>بطاقات تعليمية من Motarro — بطاقات مصورة تجعل التعلم المبكر أقرب إلى اللعب.</p><p>وسيلة بسيطة بعيدًا عن الشاشات لبناء مفردات الصغار في البيت أو الروضة.</p>
motarro-mini-wooden-me565-1,title,Motarro Mini Wooden Craft Set,مستلزمات كرافت من Motarro — Mini Wooden Craft Set
motarro-mini-wooden-me565-1,body_html,"<p>Motarro Mini Wooden Craft Set for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-scissor-mi019-19,title,Motarro Craft Scissors,مقص من Motarro
motarro-scissor-mi019-19,body_html,"<p>Motarro Craft Scissors that cut cleanly and feel comfortable in hand.</p><p>Suits paper craft, school projects and everyday desk jobs. From Motarro.</p>",<p>مقص من Motarro يقص بدقة وبقبضة مريحة.</p><p>يناسب أعمال الورق والمشاريع المدرسية ومهام المكتب اليومية.</p>
motarro-sticky-notes-mu046-1,title,Motarro Sticky Notes — Style 1,ملاحظات لاصقة تصميم ١ من Motarro
motarro-sticky-notes-mu046-1,body_html,"<p>Motarro Sticky Notes for quick reminders, page markers and desk notes that peel off cleanly.</p><p>Handy for students and office desks alike — stick them on books, screens and planners. From Motarro.</p>",<p>ملاحظات لاصقة تصميم ١ من Motarro للملاحظات السريعة وتعليم الصفحات، تُنزع بسهولة دون أثر.</p><p>عملية للطلاب وعلى مكاتب العمل — على الكتب والشاشات والمخططات.</p>
motarro-sticky-notes-mu046-3,title,Motarro Sticky Notes — Style 3,ملاحظات لاصقة تصميم ٣ من Motarro
motarro-sticky-notes-mu046-3,body_html,"<p>Motarro Sticky Notes for quick reminders, page markers and desk notes that peel off cleanly.</p><p>Handy for students and office desks alike — stick them on books, screens and planners. From Motarro.</p>",<p>ملاحظات لاصقة تصميم ٣ من Motarro للملاحظات السريعة وتعليم الصفحات، تُنزع بسهولة دون أثر.</p><p>عملية للطلاب وعلى مكاتب العمل — على الكتب والشاشات والمخططات.</p>
motarro-education-card-mu171-3,title,Motarro Education Card — Style 3,بطاقات تعليمية تصميم ٣ من Motarro
motarro-education-card-mu171-3,body_html,<p>Motarro Education Card — picture cards that make early learning feel like play.</p><p>A simple screen-free way for parents and teachers to build vocabulary with young children. From Motarro.</p>,<p>بطاقات تعليمية تصميم ٣ من Motarro — بطاقات مصورة تجعل التعلم المبكر أقرب إلى اللعب.</p><p>وسيلة بسيطة بعيدًا عن الشاشات لبناء مفردات الصغار في البيت أو الروضة.</p>
motarro-education-card-mu171-4,title,Motarro Education Card — Style 4,بطاقات تعليمية تصميم ٤ من Motarro
motarro-education-card-mu171-4,body_html,<p>Motarro Education Card — picture cards that make early learning feel like play.</p><p>A simple screen-free way for parents and teachers to build vocabulary with young children. From Motarro.</p>,<p>بطاقات تعليمية تصميم ٤ من Motarro — بطاقات مصورة تجعل التعلم المبكر أقرب إلى اللعب.</p><p>وسيلة بسيطة بعيدًا عن الشاشات لبناء مفردات الصغار في البيت أو الروضة.</p>
motarro-painting-toys-myd287-1,title,Motarro Painting Toys — Style 1,مستلزمات كرافت تصميم ١ من Motarro — Painting Toys
motarro-painting-toys-myd287-1,body_html,"<p>Motarro Painting Toys for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ١ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-painting-toys-myd287-2,title,Motarro Painting Toys — Style 2,مستلزمات كرافت تصميم ٢ من Motarro — Painting Toys
motarro-painting-toys-myd287-2,body_html,"<p>Motarro Painting Toys for craft boxes and school art projects.</p><p>Mix them into collages, models and DIY decorations. From Motarro.</p>",<p>مستلزمات كرافت تصميم ٢ من Motarro لصناديق الكرافت والمشاريع الفنية المدرسية.</p><p>تدخل في الكولاج والمجسمات وأعمال التزيين اليدوية.</p>
motarro-pencil-pouch-mx014,title,Motarro Pencil Pouch,مقلمة من Motarro
